	 ###ORAR 1CA ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,311CA,,312CA,,313CA,,314CA,,315CA,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,"ISTORIA RELIGIILOR (c), Conf. S. PAUN (A04Leu)[2]",,,,,,,,IR(2) - BN219[1],,
,09-10,"ISTORIA RELIGIILOR (c), Conf. S. PAUN (A04Leu)[2]",,,,,,,,IR(2) - BN219[1],,
,10-11,II(1) - EG305[2]{1},IR(2) - BN219[2]{2},II(1) - EG305[2],,IR(2) - BN219[1]#II(1) - EG305[2],,,IR(2) - BN219[2]{2},II(1) - EG305[1],,
,11-12,II(1) - EG305[2]{1},IR(2) - BN219[2]{2},II(1) - EG305[2],,IR(2) - BN219[1]#II(1) - EG305[2],,,IR(2) - BN219[2]{2},II(1) - EG305[1],,
,12-13,IR(2) - BN219[2]{1},"INTRODUCERE IN INFORMATICA (c), Prof. F. IACOB (EC105)[2]",IR(2) - BN219[1],,,,IR(2) - BN219[2]{1},,Engleza(2) - AN217[1],,
,13-14,IR(2) - BN219[2]{1},"INTRODUCERE IN INFORMATICA (c), Prof. F. IACOB (EC105)[2]",IR(2) - BN219[1],,,,IR(2) - BN219[2]{1},,Engleza(2) - AN217[1],,
,14-15,"UTILIZAREA SISTEMELOR DE OPERARE (c), Conf. R. RUGHINIS (EC105)"
,15-16,"UTILIZAREA SISTEMELOR DE OPERARE (c), Conf. R. RUGHINIS (EC105)"
,16-17,,,,,Mat2(2) - AN213,,USO(1) - EG306{1},II(1) - EG305[1]{2},,,
,17-18,,,,,Mat2(2) - AN213,,USO(1) - EG306{1},II(1) - EG305[1]{2},,,
,18-19,,,,,USO(1) - EG306{1},,Mat2(2) - AN213,,,,
,19-20,,,,,USO(1) - EG306{1},,Mat2(2) - AN213,,,,
,20-21,
,21-22,
MARTI,08-09,
,09-10,"PROIECTARE LOGICA (c), Conf. I. BUCUR (AN030)"
,10-11,"PROIECTARE LOGICA (c), Conf. I. BUCUR (AN030)"
,11-12,"PROIECTARE LOGICA (c), Conf. I. BUCUR (AN030)"
,12-13,"PROGRAMAREA CALCULATOARELOR (c), Conf. F. POP (AN030)"
,13-14,"PROGRAMAREA CALCULATOARELOR (c), Conf. F. POP (AN030)"
,14-15,"MATEMATICA 2 (c), Prof. MAT 2 (AN030)"
,15-16,"MATEMATICA 2 (c), Prof. MAT 2 (AN030)"
,16-17,"MATEMATICA 2 (c), Prof. MAT 2 (AN030)"
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,PL(1) - EG311{1},Progr(1) - EG205{2},,,,,,,USO(1) - EG306,,
,09-10,PL(1) - EG311{1},Progr(1) - EG205{2},,,,,,,USO(1) - EG306,,
,10-11,Mat2(2) - BN219{1},,,,,,PL(1) - EG311{1},USO(1) - EG306{2},Mat2(2) - AN210{1},,
,11-12,Mat2(2) - BN219{1},,,,,,PL(1) - EG311{1},USO(1) - EG306{2},Mat2(2) - AN210{1},,
,12-13,USO(1) - EG306{1},,Progr(1) - EG205{1},,,,Mat1(2) - AN210,,PL(1) - EG311{1},,
,13-14,USO(1) - EG306{1},,Progr(1) - EG205{1},,,,Mat1(2) - AN210,,PL(1) - EG311{1},,
,14-15,,,Mat1(2) - AN210,,,,,PL(1) - EG311{2},Progr(1) - EG205{1},,
,15-16,,,Mat1(2) - AN210,,,,,PL(1) - EG311{2},Progr(1) - EG205{1},,
,16-17,,,USO(1) - EG306{1},PL(1) - EG311{2},,,,,,,
,17-18,,,USO(1) - EG306{1},PL(1) - EG311{2},,,,,,,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,Mat1(2) - EC002,,Engleza(2) - BN319[1],,Engleza(2) - AN217[2],,Progr(1) - EG205{1},,,,
,09-10,Mat1(2) - EC002,,Engleza(2) - BN319[1],,Engleza(2) - AN217[2],,Progr(1) - EG205{1},,,,
,10-11,Engleza(2) - BN319[1],,PL(1) - EG311{1},Progr(1) - EG205{2},,,Engleza(2) - AN217[1],,Mat1(2) - EC002,,
,11-12,Engleza(2) - BN319[1],Mat2(2) - AN210{2},PL(1) - EG311{1},Progr(1) - EG205{2},,,Engleza(2) - AN217[1],,Mat1(2) - EC002,,
,12-13,,Mat2(2) - AN210{2},,,,,,,,,
,13-14,"MATEMATICA 1 (c), Prof. R. GOLOGAN (A02Leu)"
,14-15,"MATEMATICA 1 (c), Prof. R. GOLOGAN (A02Leu)"
,15-16,"MATEMATICA 1 (c), Prof. R. GOLOGAN (A02Leu)"
,16-17,"GRAFICA INGINEREASCA (c), Prof S. Aldea (AN030)[1]"#"MECANICA (c), Conf. M. Craifaleanu (AN030)[2]",,,,,,Progr(1) - EG205{2},,,
,17-18,"GRAFICA INGINEREASCA (c), Prof S. Aldea (AN030)[1]"#"MECANICA (c), Conf. M. Craifaleanu (AN030)[2]",,,,,,Progr(1) - EG205{2},,,
,18-19,"PSIHOLOGIA EDUCATIEI (c), Lect. Ana Voichita TEBEANU (A02Leu)"
,19-20,"PSIHOLOGIA EDUCATIEI (c), Lect. Ana Voichita TEBEANU (A02Leu)"
,20-21,
,21-22,
VINERI,08-09,,,,,,PL(1) - EG311{2},,,,USO(1) - EG306{2},
,09-10,,,,,,PL(1) - EG311{2},,,,USO(1) - EG306{2},
,10-11,Progr(1) - EG105{1},,,,,Progr(1) - EG205{2},,,,PL(1) - EG311{2},
,11-12,Progr(1) - EG105{1},,,,,Progr(1) - EG205{2},,,,PL(1) - EG311{2},
,12-13,,PL(1) - EG311{2},,USO(1) - EG306{2},Mat1(2) - BN319,,,,,Mat2(2) - BN219{2},
,13-14,,PL(1) - EG311{2},,USO(1) - EG306{2},Mat1(2) - BN319,,,,,Mat2(2) - BN219{2},
,14-15,,USO(1) - EG306{2},Mat2(2) - BN219,,PL(1) - EG311{1},USO(1) - EG106{2},,,,Progr(1) - EG205{2},
,15-16,,USO(1) - EG306{2},Mat2(2) - BN219,,PL(1) - EG311{1},USO(1) - EG106{2},,,,Progr(1) - EG205{2},
,16-17,,,,,Progr(1) - EG205{1},,,,,,
,17-18,,,,,Progr(1) - EG205{1},,,,,,
,18-19,
,19-20,
,20-21,
,21-22,
E