	 ###ORAR Prof. Adina FLOREA ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Knowledge Representation and Reasoning  5CM-IA-en EC102  ","Reprezentarea cunostintelor  5CM-ISI EC102  ",
,17-18,"Knowledge Representation and Reasoning  5CM-IA-en EC102  ","Reprezentarea cunostintelor  5CM-ISI EC102  ",
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"Inteligenta Artificiala  4C4 EC004  ",
,15-16,"Inteligenta Artificiala  4C4 EC004  ",
,16-17,"Inteligenta Artificiala  4C4 EC004  ",
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,"Inteligenta Artificiala  4C3 EC101  ",
,12-13,"Inteligenta Artificiala  4C3 EC101  ",
,13-14,"Inteligenta Artificiala  4C3 EC101  ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E