	 ###ORAR Prof. N. TAPUS ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,"ARHITECTURI si PRELUCRARI PARALELE  4C1 EC105  ",
,10-11,"ARHITECTURI si PRELUCRARI PARALELE  4C1 EC105  ",
,11-12,"ARHITECTURI si PRELUCRARI PARALELE  4C1 EC105  ",
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,"RETELE LOCALE  3CA EC004  ",
,12-13,"RETELE LOCALE  3CA EC004  ",
,13-14,"RETELE LOCALE  3CA EC004  ",
,14-15,
,15-16,
,16-17,"Sisteme paralele si distribuite  6CM-AAC si 6CM-SRIC ED202  ",
,17-18,"Sisteme paralele si distribuite  6CM-AAC si 6CM-SRIC ED202  ",
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E