	 ###ORAR Prof. V. CRISTEA ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"ALGORITMI PARALELI SI DISTRIBUITI  3CB EC101  ",
,15-16,"ALGORITMI PARALELI SI DISTRIBUITI  3CB EC101  ",
,16-17,"ALGORITMI PARALELI SI DISTRIBUITI  3CB EC101  ",
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,"ALGORITMI PARALELI SI DISTRIBUITI  3CA EC101  ",
,12-13,"ALGORITMI PARALELI SI DISTRIBUITI  3CA EC101  ",
,13-14,"ALGORITMI PARALELI SI DISTRIBUITI  3CA EC101  ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,"SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE  4C3 EC101  ",
,12-13,"SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE  4C3 EC101  ",
,13-14,"SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE  4C3 EC101  ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E